Galaxy	Area	Source	log ΣHI+H2	τdyn	τff	F22μm	F22μm, corr	FFUV	ΣSFR, 22μm	ΣSFR, FUV + 22μm
NGC3489 	0.50 ± 0.18 	PXIV 	1.58 ± 0.22 	18.3 	12.3 	108.0 	67.7 ± 1.3 	626 ± 13.7 	−1.19 ± 0.20 	−1.19 ± 0.19 
NGC3599 	0.05 ± 0.01 	HST 	2.71 ± 0.15 	8.7 	6.4 	33.6 	31.4 ± 0.3 	9 ± 0.9 	0.16 ± 0.11 	0.36 ± 0.10 
NGC3607 	8.14 ± 1.36 	PXIV 	1.59 ± 0.17 	24.2 	12.3 	105.9 	38.5 ± 2.1 	707 ± 5.4 	−2.00 ± 0.13 	−2.09 ± 0.11 
NGC3619 	1.60 ± 0.72 	PXIV 	2.36 ± 0.26 	10.0 	7.9 	45.9 	28.1 ± 0.7 	687 ± 7.7 	−1.46 ± 0.24 	−1.37 ± 0.23 
NGC3626 	1.51 ± 0.08 	PXIV 	2.26 ± 0.15 	35.8 	8.4 	166.7 	156.4 ± 1.0 	− 	−0.71 ± 0.10 	– 
NGC3665 	8.84 ± 2.10 	PXIV 	2.16 ± 0.19 	25.7 	8.8 	138.9 	55.4 ± 1.2 	181 ± 12.8 	−1.91 ± 0.15 	−2.15 ± 0.14 
NGC4036 	1.97 ± 0.73 	FUV 	1.84 ± 0.23 	16.3 	10.6 	60.0 	41.6 ± 0.8 	256 ± 4.7 	−1.11 ± 0.20 	−1.13 ± 0.20 
NGC4111 	0.49 ± 0.22 	HST 	1.71 ± 0.26 	17.1 	11.4 	96.7 	84.5 ± 1.0 	210 ± 3.7 	−0.59 ± 0.24 	−0.53 ± 0.23 
NGC4119 	1.55 ± 0.44 	PXIV 	1.95 ± 0.20 	38.5 	10.0 	47.2 	29.2 ± 1.2 	82 ± 11.0 	−1.73 ± 0.17 	−1.93 ± 0.17 
NGC4150 	1.32 ± 0.33 	PXIV 	1.71 ± 0.19 	41.7 	11.5 	72.7 	67.1 ± 0.5 	109 ± 2.4 	−1.29 ± 0.15 	−1.41 ± 0.14 
NGC4203 	0.32 ± 0.18 	24μm 	2.04 ± 0.31 	8.9 	9.5 	79.9 	35.4 ± 1.2 	546 ± 12.6 	−1.17 ± 0.29 	−1.09 ± 0.28 
NGC4283 	0.28 ± 0.17 	FUV 	1.66 ± 0.34 	10.5 	11.8 	10.6 	2.2 ± 0.3 	72 ± 3.6 	−2.03 ± 0.32 	−2.01 ± 0.31 
NGC4324 	1.92 ± 0.06 	PXIV 	1.69 ± 0.15 	79.8 	11.6 	46.9 	30.5 ± 0.8 	405 ± 22.9 	−1.76 ± 0.10 	−1.84 ± 0.08 
NGC4429 	0.98 ± 0.35 	PXIV 	2.40 ± 0.23 	11.9 	7.7 	190.2 	123.1 ± 5.1 	464 ± 28.8 	−0.98 ± 0.20 	−0.99 ± 0.19 
NGC4435 	0.57 ± 0.27 	PXIV 	2.30 ± 0.27 	8.1 	8.2 	111.9 	69.5 ± 2.7 	209 ± 4.7 	−0.98 ± 0.25 	−1.01 ± 0.24 
NGC4459 	1.91 ± 0.48 	PXIV 	1.96 ± 0.19 	11.4 	9.9 	142.3 	97.0 ± 2.2 	418 ± 6.9 	−1.29 ± 0.15 	−1.36 ± 0.14 
NGC4476 	2.65 ± 0.61 	PXIV 	1.63 ± 0.18 	36.5 	12.0 	30.3 	23.3 ± 0.2 	149 ± 4.5 	−1.93 ± 0.15 	−2.13 ± 0.14 
NGC4477 	0.28 ± 0.19 	PXIV 	2.10 ± 0.36 	5.6 	9.2 	44.6 	10.6 ± 1.5 	408 ± 7.2 	−1.35 ± 0.34 	−1.13 ± 0.33 
NGC4526 	2.22 ± 0.52 	PXIV 	2.24 ± 0.18 	14.9 	8.4 	349.9 	261.4 ± 8.4 	658 ± 7.0 	−1.00 ± 0.15 	−1.04 ± 0.14 
NGC4596 	1.10 ± 0.37 	24μm 	1.27 ± 0.22 	0.8 	14.7 	39.8 	4.2 ± 1.9 	330 ± 6.5 	−2.21 ± 0.25 	−1.98 ± 0.18 
NGC4643 	0.85 ± 0.33 	FUV 	1.34 ± 0.24 	0.7 	14.1 	87.6 	48.9 ± 1.6 	31 ± 8.9 	−1.25 ± 0.21 	−1.37 ± 0.24 
NGC4684 	0.38 ± 0.17 	FUV 	1.63 ± 0.26 	22.8 	12.0 	247.7 	238.0 ± 1.0 	977 ± 9.5 	−0.41 ± 0.24 	−0.29 ± 0.23 
NGC4694 	1.00 ± 0.35 	PXIV 	2.06 ± 0.22 	73.0 	9.3 	112.0 	97.9 ± 0.8 	778 ± 8.7 	−1.23 ± 0.20 	−1.24 ± 0.19 
NGC4710 	2.97 ± 0.07 	PXIV 	2.61 ± 0.15 	91.5 	6.8 	416.1 	383.9 ± 4.6 	108 ± 15.7 	−0.96 ± 0.10 	−1.03 ± 0.10 
NGC4753 	4.76 ± 1.07 	PXIV 	2.02 ± 0.18 	33.4 	9.6 	250.5 	110.3 ± 4.3 	100 ± 7.6 	−1.57 ± 0.15 	−1.76 ± 0.14 
NGC5173 	4.58 ± 1.76 	FUV 	2.04 ± 0.24 	41.1 	9.5 	18.1 	8.5 ± 0.2 	518 ± 6.9 	−2.23 ± 0.21 	−2.09 ± 0.20 
NGC5273 	0.85 ± 0.32 	24μm 	1.38 ± 0.23 	21.7 	13.8 	83.9 	81.7 ± 0.5 	161 ± 3.5 	−0.48 ± 0.21 	−0.40 ± 0.20 
NGC5379 	4.85 ± 1.43 	FUV 	1.84 ± 0.20 	131.2 	10.6 	39.3 	30.0 ± 0.3 	245 ± 13.9 	−2.05 ± 0.17 	−2.26 ± 0.16 
NGC5866 	2.39 ± 0.05 	PXIV 	2.38 ± 0.15 	58.7 	7.8 	225.7 	210.5 ± 1.4 	495 ± 7.8 	−0.67 ± 0.10 	−0.64 ± 0.08 
NGC6014 	3.71 ± 1.53 	PXIV 	2.20 ± 0.25 	19.1 	8.6 	130.0 	105.1 ± 0.7 	430 ± 18.7 	−1.57 ± 0.22 	−1.72 ± 0.21 
NGC6798 	0.69 ± 0.55 	FUV 	2.45 ± 0.41 	13.4 	7.5 	14.5 	8.2 ± 0.3 	17 ± 6.6 	−1.23 ± 0.40 	−1.33 ± 0.43 
NGC7465 	10.42 ± 2.04 	PXIV 	2.15 ± 0.17 	64.0 	8.9 	313.3 	310.2 ± 1.8 	– 	−0.88 ± 0.14 	– 
PGC016060 	1.22 ± 0.04 	Hβ 	2.18 ± 0.15 	25.3 	8.8 	23.2 	18.8 ± 0.2 	– 	−1.31 ± 0.10 	– 
PGC029321 	3.91 ± 1.73 	PXIV 	2.02 ± 0.26 	45.1 	9.6 	342.6 	341.7 ± 2.5 	– 	−0.47 ± 0.23 	– 
PGC056772 	0.97 ± 0.83 	FUV 	2.21 ± 0.44 	28.2 	8.6 	124.2 	122.7 ± 0.6 	37 ± 6.2 	−0.36 ± 0.43 	−0.28 ± 0.43 
PGC058114 	1.12 ± 0.55 	PXIV 	2.70 ± 0.28 	1.8 	6.5 	504.8 	502.3 ± 3.0 	115 ± 13.2 	−0.26 ± 0.26 	−0.16 ± 0.25 
PGC061468 	5.19 ± 1.75 	Hβ 	1.28 ± 0.22 	57.4 	14.6 	15.3 	14.2 ± 0.2 	– 	−1.78 ± 0.19 	– 
UGC05408 	1.26 ± 0.43 	PXIV 	2.53 ± 0.22 	34.9 	7.2 	218.0 	216.9 ± 1.0 	878 ± 9.7 	−0.17 ± 0.19 	0.01 ± 0.18 
UGC06176 	1.87 ± 0.47 	PXIV 	2.64 ± 0.19 	10.2 	6.7 	232.7 	230.3 ± 1.4 	– 	−0.36 ± 0.15 	– 
UGC09519 	2.52 ± 0.98 	PXIV 	2.41 ± 0.24 	25.0 	7.7 	30.4 	27.5 ± 0.2 	– 	−1.45 ± 0.21 	– 
