# Table 1 from Davis+2019
######################################################################################################
Galaxy	Distance	MKS         LKS sigmae	      Re	log10(MH2) Ref.
#None		(Mpc)	(mag)	(LSun)	(kms-1)	(kpc)	(Msun) None
######################################################################################################
IC0310 		77.5 	-25.35 	11.45 	205. 	5.7 	9.02 	1 
NGC2418 	74.1 	-25.42 	11.48 	247. 	7.1 	-8.68 	7 
NGC2513 	70.8 	-25.52 	11.52 	253. 	8.2 	-8.49 	2 
NGC2672 	61.5 	-25.60 	11.55 	262. 	4.3 	-8.65 	2 
NGC2693 	74.4 	-25.76 	11.62 	296. 	5.5 	-8.40 	2 
NGC2783 	101.4 	-25.72 	11.60 	264. 	18.7 	-8.85 	8 
NGC2832 	105.2 	-26.42 	11.88 	291. 	10.8 	-8.59 	2 
NGC2892 	101.1 	-25.70 	11.59 	234. 	11.4 	-8.84 	3 
NGC3158 	103.4 	-26.28 	11.82 	289. 	8.1 	-8.81 	2 
NGC3805 	99.4 	-25.69 	11.59 	225. 	7.9 	-8.30 	9 
NGC3816 	99.4 	-25.40 	11.47 	207. 	8.8 	-8.67 	2 
NGC3842 	99.4 	-25.91 	11.68 	231. 	11.6 	-8.15 	9 
NGC3862 	99.4 	-25.50 	11.51 	232. 	19.2 	8.49 	10 
NGC4055 	107.2 	-25.40 	11.47 	270. 	7.1 	8.72 	6 
NGC4073 	91.5 	-26.33 	11.84 	292. 	10.2 	-8.90 	2 
NGC4472 	16.7 	-25.72 	11.60 	258. 	14.3 	-7.25 	11 
NGC4486 	16.7 	-25.31 	11.44 	336. 	5.7 	6.70 	1 
NGC4649 	16.5 	-25.36 	11.46 	340. 	5.4 	-7.83 	1 
NGC4839 	102.0 	-25.85 	11.65 	275. 	14.4 	-8.88 	2 
NGC4874 	102.0 	-26.18 	11.78 	258. 	15.8 	-8.86 	2 
NGC4889 	102.0 	-26.64 	11.97 	337. 	16.3 	-8.93 	2 
NGC4914 	74.5 	-25.72 	11.60 	225. 	11.3 	-8.79 	2 
NGC5208 	105.0 	-25.61 	11.56 	235. 	9.3 	9.49 	1 
NGC5252 	103.8 	-25.32 	11.44 	196. 	7.9 	-8.86 	1 
NGC5322 	34.2 	-25.51 	11.52 	239. 	3.3 	-7.76 	11 
NGC5353 	41.1 	-25.45 	11.49 	290. 	4.8 	8.28 	12 
NGC5490 	78.6 	-25.57 	11.54 	282. 	7.4 	-8.73 	3 
NGC5557 	51.0 	-25.46 	11.50 	223. 	3.6 	-7.92 	11 
NGC6482 	61.4 	-25.60 	11.55 	291. 	4.9 	-8.62 	1 
NGC7052 	69.3 	-25.67 	11.58 	266. 	9.2 	9.63 	3 
NGC7265 	82.8 	-25.93 	11.68 	206. 	12.7 	-8.65 	2 
NGC7274 	82.8 	-25.39 	11.47 	244. 	9.4 	-8.55 	2 
NGC7550 	72.7 	-25.43 	11.48 	224. 	9.9 	8.85 	2 
NGC7556 	103.0 	-25.83 	11.64 	243. 	13.2 	-8.56 	1 
NGC7618 	76.3 	-25.44 	11.49 	265. 	6.2 	-8.60 	2 
NGC7619 	54.0 	-25.65 	11.57 	277. 	9.0 	-7.52 	1 
NGC7626 	54.0 	-25.65 	11.57 	250. 	7.0 	-7.90 	10
